symbol,trades,total_pnl,avg_pnl,win_rate,max_win,max_loss
IWM,13,3973.1446428572026,305.62651098901557,84.61538461538461,1086.6399999999974,-754.775357142877
SPY,11,5198.511785714318,472.59198051948346,81.81818181818183,1189.1700000000014,-885.0613571428732
