exit_reason,trades,total_pnl,avg_pnl,win_rate
EOD,2,574.7000000000155,287.35000000000775,100.0
MAX_HOLD,1,1001.70000000002,1001.70000000002,100.0
SIGNAL,18,9865.790000000106,548.0994444444503,94.44444444444444
STOP,3,-2270.533571428622,-756.8445238095406,0.0
